date,pollster,unsure,fidesz,tisza,dk_mszp_p,mihazank,mkkp,momentum,url
2025-03-12,Nézőpont,0.18,0.37,0.25,0.02,0.06,0.04,0.01,https://nezopont.hu/hu/tevekenysegeink/kozvelemeny-kutatasok/tetozott-a-tisza
2025-03-11,Publicus,0.33,0.26,0.28,0.08,0.03,0.01,0.0,https://publicus.hu/blog/partok-tamogatottsaga-2025-marcius/
2025-03-11,Publicus,0.22,0.31,0.31,0.1,0.04,0.01,0.0,https://publicus.hu/blog/partok-tamogatottsaga-2025-marcius/
2025-03-08,Medián,0.24,0.29,0.33,0.02,0.05,0.03,0.0,
2025-02-26,Republikon,0.26,0.26,0.28,0.07,0.05,0.05,0.01,"https://republikon.hu/elemzesek,-kutatasok/250301-kkv.aspx"
2025-01-29,Publicus,0.32,0.25,0.28,0.08,0.04,0.02,0.0,https://publicus.hu/blog/partok-tamogatottsaga-2025-januar/
2025-01-29,Publicus,0.21,0.3,0.33,0.09,0.04,0.02,0.0,https://publicus.hu/blog/partok-tamogatottsaga-2025-januar/
2025-01-22,Republikon,0.28,0.23,0.26,0.07,0.05,0.04,0.02,"https://republikon.hu/elemzesek,-kutatasok/250128_kvk_januar.aspx"
2025-02-28,Iránytű,0.22,0.32,0.31,0.03,0.05,0.03,0.0,https://iranytuintezet.hu/kutatas/az-egyes-partok-szavazotaboranak-szociodemografiai-osszetetele-2024-25-tel/
2025-02-28,Iránytű,0.22,0.32,0.31,0.03,0.05,0.03,0.0,https://iranytuintezet.hu/kutatas/az-egyes-partok-szavazotaboranak-szociodemografiai-osszetetele-2024-25-tel/
2025-01-10,IDEA,0.26,0.26,0.33,0.04,0.05,0.02,0.01,https://www.facebook.com/ideaintezet/posts/pfbid0eBrPocBJFH9hDVJsgbcnaESmKt8qaWPvSobYCRNe5bFmyXKnVvRdq8rPAuZLSHvql
2024-12-17,Publicus,0.33,0.24,0.27,0.08,0.04,0.02,0.01,https://telex.hu/belfold/2024/12/28/partpreferencia-publicus-2024-december-tisza-fidesz
2024-12-11,Nézőpont,0.21,0.38,0.25,0.03,0.04,0.04,0.01,https://nezopont.hu/hu/tevekenysegeink/kozvelemeny-kutatasok/61-szazalekos-fidesz-tobbseg
2024-12-12,Századvég,0.07,0.4,0.31,0.05,0.06,0.07,0.03,https://szazadveg.hu/cikkek/elso-helyen-a-fidesz-kdnp-egyre-tobben-fordulnak-el-magyar-petertol/
2024-12-06,IDEA,0.24,0.27,0.33,0.04,0.05,0.02,0.01,http://www.ideaintezet.hu/hu/hirek-aktualis/126/novelte-elonyet-a-tisza--negy-part-bejutasi-kuszob-felett
2024-12-05,Republikon,0.24,0.25,0.27,0.08,0.06,0.04,0.03,"https://republikon.hu/elemzesek,-kutatasok/24-12-16_kvk_december.aspx"
2024-11-30,ZRI,0.29,0.24,0.26,0.07,0.05,0.03,0.02,https://hvg.hu/itthon/20241205_Zavecz-tisza-fidesz-ebx
2024-11-26,Medián,0.24,0.27,0.34,0.03,0.05,0.03,0.01,https://hvg.hu/360/20241128_Median-kozvelemenykutatas-november-Tisza-Magyar-Peter-Fidesz
2024-11-22,TK,0.18,0.38,0.26,0.03,0.05,0.05,0.01,https://tarsadalomkutato.hu/egyertelmuen-a-fidesz-vezeti-a-partversenyt/
2024-11-19,Publicus,0.36,0.24,0.25,0.08,0.03,0.02,0.01,https://publicus.hu/blog/partok-tamogatottsaga-2024-november/
2024-11-19,Publicus,0.26,0.27,0.28,0.11,0.04,0.02,0.01,https://publicus.hu/blog/partok-tamogatottsaga-2024-november/
2024-11-19,Századvég,0.06,0.38,0.32,0.06,0.06,0.09,0.02,https://szazadveg.hu/cikkek/orzi-vezeto-szerepet-a-fidesz-kdnp/
2024-11-13,Nézőpont,0.2,0.38,0.25,0.03,0.05,0.04,0.01,https://nezopont.hu/hu/tevekenysegeink/kozvelemeny-kutatasok/12-szazalekpontos-fidesz-elony
2024-11-08,IDEA,0.26,0.28,0.3,0.04,0.05,0.02,0.01,https://www.facebook.com/ideaintezet/posts/pfbid02pvdwsoKfuWPnXfr4estUh9oeusqweDYWLZwG3hA2vRRUKDwUiub4kXVfHHr19YMvl
2024-11-04,Medián,0.2,0.32,0.34,0.03,0.05,0.03,0.01,https://hvg.hu/360/20241105_Median-kozvelemeny-kutatas-partpreferenciak-Fidesz-Tisza
2024-10-30,Real-PR 93,0.19,0.38,0.25,0.03,0.04,0.04,0.02,https://magyarnemzet.hu/belfold/2024/11/folenyesen-gyozne-a-fidesz-kdnp-ha-most-lennenek-a-valasztasok
2024-10-29,Republikon,0.29,0.26,0.24,0.08,0.05,0.04,0.03,"https://republikon.hu/elemzesek,-kutatasok/241105.aspx"
2024-10-17,Nézőpont,0.22,0.36,0.25,0.03,0.05,0.04,0.01,https://nezopont.hu/valtozatlan-a-partverseny-allasa/
2024-10-18,Publicus,0.38,0.23,0.24,0.07,0.03,0.02,0.01,https://publicus.hu/blog/partok-tamogatottsaga-2024-oktober/
2024-10-18,Publicus,0.28,0.26,0.27,0.09,0.03,0.03,0.01,https://publicus.hu/blog/partok-tamogatottsaga-2024-oktober/
2024-10-26,Századvég,0.08,0.4,0.31,0.06,0.06,0.06,0.02,https://szazadveg.hu/cikkek/stabil-kormanyparti-vezetes/
2024-10-15,21 Kutató,0.28,0.29,0.26,0.04,0.05,0.03,0.02,https://www.facebook.com/partizanpolitika/posts/pfbid07krfXJnZxZAZ1oJZ4ECuMoEHUgjMJ1Q465FaAtzqFnF9KEUcFsq911GbNAyvDeHRl
2024-10-08,ZRI,0.32,0.25,0.21,0.07,0.04,0.03,0.02,https://telex.hu/belfold/2024/10/11/tisza-part-magyar-peter-fidesz-ellenzek-kozvelemeny-kutatas-zavecz-research?fbclid=IwY2xjawF2YI9leHRuA2FlbQIxMAABHfLQXIS9jFf0pbP7uPPdcxeEgTrWqQIMfWMODBELKCWJnj7oyo8oolbjyw_aem_QluYTYVkRyZ4I449o3q7og
2024-10-07,IDEA,0.28,0.28,0.26,0.05,0.05,0.03,0.01,http://www.ideaintezet.hu/hu/hirek-aktualis/125/a-tisza-a-fidesz-kdnp-nyakan--negy-parlamenti-part-0-szazalekon
2024-09-10,Medián,0.3,0.3,0.25,0.02,0.04,0.04,0.01,https://hvg.hu/360/20240911_Median-meres-Gyorsabban-fogy-a-Fidesz-elonye-mint-Orban-Viktor-Tisza-Magyar-Peter-DK
2024-09-06,IDEA,0.28,0.28,0.23,0.06,0.06,0.03,0.02,https://www.facebook.com/photo?fbid=836698345211480&set=a.508321001382551
2024-07-31,IDEA,0.31,0.28,0.22,0.05,0.04,0.03,0.02,https://www.facebook.com/photo/?fbid=819184690296179&set=a.508321001382551
2024-07-10,Medián,0.27,0.32,0.21,0.06,0.06,0.04,0.02,https://hvg.hu/360/20240718_hvg-median-ep-valasztas-fidesz-tisza-dk-gyurcsany
2024-07-08,Republikon,0.26,0.31,0.23,0.07,0.04,0.04,0.03,"https://republikon.hu/elemzesek,-kutatasok/24-07-15-kvk.aspx"
2024-06-27,IDEA,0.26,0.3,0.23,0.07,0.05,0.03,0.02,https://24.hu/belfold/2024/07/04/tisza-part-fidesz-idea-kozvelemeny-kutatas/
2024-06-05,Medián,0.29,0.35,0.19,0.07,0.03,0.03,0.02,https://hvg.hu/itthon/20240607_median-az-europai-parlamenti-valasztas-biztos-magyarorszagi-gyoztese-a-fidesz-kdnp
